Date,z1,z2,z3,z4
2003-05-21,0.017171605,0.050624013,0.007236692,-0.003730975
2003-05-22,0.018686084,0.05030579,0.008460316,-0.0038566887
2003-05-23,0.020280678,0.050005823,0.0096832365,-0.003964836
2003-05-26,0.021883745,0.049693666,0.011013686,-0.0040493533
2003-05-27,0.023463612,0.04936818,0.0124825,-0.004120948
2003-05-28,0.024955267,0.049018785,0.013980114,-0.0041721724
2003-05-29,0.02629362,0.048631884,0.015483166,-0.004189918
2003-05-30,0.027520413,0.04824606,0.016890734,-0.004194746
2003-06-02,0.028675752,0.047869302,0.018201988,-0.004209103
2003-06-03,0.02974526,0.04752388,0.019337926,-0.0042246245
2003-06-04,0.030698784,0.047187414,0.020378107,-0.004244676
2003-06-05,0.031461872,0.046915933,0.021279767,-0.0042886212
2003-06-06,0.03200568,0.046747457,0.022074927,-0.0043462124
2003-06-09,0.032347627,0.046696927,0.022705223,-0.0044047795
2003-06-10,0.032460585,0.046745546,0.023121942,-0.004469849
2003-06-11,0.032495897,0.046879023,0.023514882,-0.00452655
2003-06-12,0.0322646,0.047088757,0.02383433,-0.0045319647
2003-06-13,0.03164205,0.04724579,0.024036381,-0.0044309124
2003-06-16,0.030457769,0.047286667,0.024171855,-0.004211178
2003-06-17,0.028975854,0.04734966,0.024235744,-0.003946634
2003-06-18,0.027192391,0.04742739,0.024226,-0.0036475305
2003-06-19,0.025323093,0.047518846,0.024191357,-0.0033905208
2003-06-20,0.023573704,0.047729775,0.024119645,-0.0032130945
2003-06-23,0.022609038,0.048230812,0.023895238,-0.003153097
2003-06-24,0.02226188,0.048875067,0.023713792,-0.0031477045
2003-06-25,0.02209098,0.049548898,0.023464523,-0.0031382143
2003-06-26,0.022078482,0.050244924,0.023243286,-0.0031347368
2003-06-27,0.022196194,0.050928026,0.023082681,-0.0031354856
2003-06-30,0.022275029,0.051579177,0.0230892,-0.0031203292
2003-07-01,0.022259641,0.05227164,0.023137905,-0.003092222
2003-07-02,0.022171363,0.052922517,0.023366654,-0.0030617416
2003-07-03,0.021992937,0.05354884,0.023655996,-0.0030265395
2003-07-04,0.021779949,0.054205295,0.023901332,-0.0029792301
2003-07-07,0.021508764,0.05487459,0.024002712,-0.0029263776
2003-07-08,0.021294426,0.05550809,0.024020191,-0.0028770044
2003-07-09,0.02106526,0.05616665,0.023844268,-0.0028223265
2003-07-10,0.020761145,0.056849167,0.023552127,-0.0027653314
2003-07-11,0.020425964,0.05747693,0.023290258,-0.0027045477
2003-07-14,0.020053424,0.058004677,0.023123067,-0.0026482772
2003-07-15,0.019558912,0.05840193,0.023098208,-0.0025747586
2003-07-16,0.0184961,0.058597405,0.023108125,-0.0024275742
2003-07-17,0.017048026,0.05859036,0.02316735,-0.002203377
2003-07-18,0.015235944,0.058474347,0.023098651,-0.0019262861
2003-07-21,0.013134296,0.058388643,0.022775186,-0.001644697
2003-07-22,0.010946577,0.05836562,0.02224526,-0.0013700053
2003-07-23,0.0090353,0.05840161,0.021593492,-0.0011419635
2003-07-24,0.007305964,0.058450688,0.02085789,-0.00093586184
2003-07-25,0.0055877278,0.05850702,0.020075671,-0.00072964095
2003-07-28,0.003926155,0.058570128,0.019316696,-0.00052162074
2003-07-29,0.0022625618,0.058485687,0.018700078,-0.00030436553
2003-07-30,0.00067724264,0.058369033,0.018234093,-8.9855865e-05
2003-07-31,-0.00082397624,0.058226354,0.017870516,0.000119453296
2003-08-01,-0.0021702375,0.058092542,0.017448157,0.0003132932
2003-08-04,-0.0033457696,0.057959966,0.016989253,0.00048079155
2003-08-05,-0.004409658,0.05798874,0.016237713,0.0005948432
2003-08-06,-0.00534249,0.058091693,0.01532022,0.0006705951
2003-08-07,-0.0062008603,0.058148064,0.014348821,0.0007261466
2003-08-08,-0.007059875,0.058108844,0.013398408,0.00077066384
2003-08-11,-0.007994728,0.05810115,0.012424721,0.00082072057
2003-08-12,-0.009060694,0.05807174,0.011541871,0.0008895602
2003-08-13,-0.010311257,0.057992302,0.0107213035,0.0009894129
2003-08-14,-0.011622093,0.057876177,0.010007048,0.0011017136
2003-08-15,-0.0128724845,0.0578485,0.009424307,0.001215864
2003-08-18,-0.013908207,0.05780343,0.0090112,0.0013097487
2003-08-19,-0.014824781,0.057789177,0.008701847,0.0013978686
2003-08-20,-0.015631808,0.057802394,0.0085197,0.0014730152
2003-08-21,-0.01636778,0.057875678,0.008409419,0.0015367866
2003-08-22,-0.017078938,0.057961598,0.00835518,0.0015933271
2003-08-25,-0.017723123,0.058057643,0.008392688,0.0016394816
2003-08-26,-0.018176237,0.0581625,0.00854211,0.0016652308
2003-08-27,-0.018432198,0.0582269,0.008848326,0.0016696621
2003-08-28,-0.018567476,0.058230862,0.009233313,0.0016678479
2003-08-29,-0.018596362,0.058184236,0.009676259,0.0016493164
2003-09-01,-0.018575767,0.058079354,0.010178063,0.0016180724
2003-09-02,-0.018541066,0.057913505,0.010789374,0.0015738681
2003-09-03,-0.018684553,0.057701923,0.01127583,0.0015341323
2003-09-04,-0.019023104,0.057386287,0.011659596,0.0015203916
2003-09-05,-0.019427558,0.057120085,0.0119127855,0.0014959592
2003-09-08,-0.019853435,0.056967795,0.011906605,0.001427412
2003-09-09,-0.019952007,0.056929447,0.011697243,0.0012866091
2003-09-10,-0.019691614,0.05694555,0.011635818,0.0010842904
2003-09-11,-0.019216439,0.056964263,0.011776571,0.0008770451
2003-09-12,-0.01877123,0.05689985,0.012044396,0.00070491806
2003-09-15,-0.018549645,0.056762733,0.012426922,0.00059634075
2003-09-16,-0.018682273,0.05652275,0.012788887,0.0005500894
2003-09-17,-0.019037288,0.056317907,0.013150507,0.00051902235
2003-09-18,-0.01955013,0.05613215,0.013405851,0.00049461983
2003-09-19,-0.020096958,0.05597251,0.013604569,0.0004771538
2003-09-22,-0.02048741,0.05582133,0.013906867,0.00045884214
2003-09-23,-0.020727417,0.055681534,0.014375301,0.00044173747
2003-09-24,-0.020896185,0.05552149,0.014787753,0.0004483685
2003-09-25,-0.02091792,0.055349022,0.0152606,0.00046369247
2003-09-26,-0.020856278,0.055153012,0.015775029,0.000488488
2003-09-29,-0.020716375,0.054987356,0.016291454,0.0005063284
2003-09-30,-0.020579224,0.054899156,0.016692508,0.00051019713
2003-10-01,-0.020447113,0.05488733,0.016970403,0.0005023312
2003-10-02,-0.020275803,0.054971684,0.017179765,0.0004922487
2003-10-03,-0.02006561,0.05513204,0.017256442,0.00048435293
2003-10-06,-0.01983199,0.055336982,0.017188407,0.00048244186
2003-10-07,-0.019534271,0.055508308,0.017089836,0.00048990175
2003-10-08,-0.019147635,0.055656664,0.01708984,0.0005060453
2003-10-09,-0.018793112,0.055781513,0.01708565,0.00053063966
2003-10-10,-0.018401548,0.05593022,0.017009825,0.0005520992
2003-10-13,-0.018039038,0.05612231,0.016748015,0.00057041645
2003-10-14,-0.01780219,0.056360506,0.016295943,0.0005927589
2003-10-15,-0.017734876,0.056652974,0.015606401,0.0006160494
2003-10-16,-0.01785761,0.05700948,0.014623485,0.0006502867
2003-10-17,-0.018123288,0.057303086,0.013694557,0.0006811358
2003-10-20,-0.018522039,0.05759973,0.012729411,0.0007016361
2003-10-21,-0.018965388,0.057932157,0.011738344,0.00073052384
2003-10-22,-0.019450264,0.058227897,0.0107490895,0.0007652007
2003-10-23,-0.019974625,0.05845176,0.009764332,0.00079988874
2003-10-24,-0.020606147,0.058656167,0.008753823,0.0008409489
2003-10-27,-0.02131959,0.05879412,0.0077785403,0.00087993406
2003-10-28,-0.022195837,0.05879637,0.0069578737,0.00092984736
2003-10-29,-0.023220835,0.058720846,0.0061194813,0.0010010432
2003-10-30,-0.024341855,0.05863604,0.005234928,0.0010783859
2003-10-31,-0.02539639,0.058572683,0.0043083197,0.0011449847
2003-11-03,-0.026311126,0.05842296,0.0035533346,0.0012054555
2003-11-04,-0.027007312,0.058165424,0.0029651532,0.0012609307
2003-11-05,-0.027482778,0.05791197,0.002522722,0.001305325
2003-11-06,-0.027811784,0.057651404,0.0023090765,0.0013649408
2003-11-07,-0.02800901,0.057274308,0.0023886608,0.0014422853
2003-11-10,-0.028122906,0.05683068,0.0026682904,0.001536727
2003-11-11,-0.028155826,0.05639133,0.0029180218,0.0016258843
2003-11-12,-0.028098673,0.05594664,0.0031076847,0.0017101839
